|11.80|2.0,2.0|0.3|1.0|0.02|1.0|1.0|3.0|
|11.90|2.0,2.0|0.3|2.0|0.125|0.25|4.5|1.0|
|12.10|2.0,2.0|0.3|2.0|0.125|0.25|0.5|1.0|
|12.10|2.0,2.0|0.3|2.0|0.125|0.25|1.0|1.0|
|12.20|2.0,2.0|0.3|0.08|0.02|1.0|1.0|3.0|
|12.20|2.0,2.0|0.3|2.0|0.125|0.25|1.0|1.0|
|14.00|2.0,2.0|0.3|0.08|0.02|1.0|1.0|0.25|
|14.70|2.0,2.0|0.3|0.1|0.1|0.5|0.05|0.5|
|14.90|2.0,2.0|0.25|0.25|0.15|0.5|0.05|0.5|
|14.90|2.0,2.0|0.2|0.2|0.2|0.5|0.05|0.5|
|16.30|2.0,2.0|0.3|0.08|0.02|1.0|0.0|0.0|
|19.50|2.0,2.0|0.2|0.05|0.0|0.5|0.05|0.5|
|19.50|2.0,2.0|0.2|0.1|0.0|0.5|0.05|0.5|
|20.70|2.0,2.0|0.3|0.0|0.0|0.7|0.0|0.0|
|21.70|2.0,2.0|0.2|0.05|0.0|0.5|0.05|0.0|
|21.90|2.0,2.0|0.2|0.025|0.0|0.5|0.025|0.0|
|40.90|2.0,2.0|0.1|0.0|0.0|0.5|0.0|0.0|
|47.80|2.0,2.0|0.1|0.0|0.0|0.2|0.0|0.0|
|5.60|2.0,2.0|0.6|2.0|0.125|0.25|1.5|11.0|
|6.00|2.0,2.0|0.6|2.0|0.125|0.25|1.5|10.0|
|6.20|2.0,2.0|0.6|2.0|0.125|0.25|1.5|10.0|
|7.30|2.0,2.0|0.6|2.0|0.125|0.25|1.5|5.0|
|7.70|2.0,2.0|0.3|1.0|0.5|1.0|1.0|3.0|
|8.90|2.0,2.0|0.3|2.0|0.125|0.25|1.5|10.0|
|9.00|2.0,2.0|0.3|2.0|0.125|0.25|1.5|10.0|
|9.30|2.0,2.0|0.3|2.0|0.125|0.25|1.5|10.0|
|9.30|2.0,2.0|0.3|2.0|0.125|1.0|1.0|3.0|
|9.40|2.0,2.0|0.3|2.0|0.125|0.25|1.5|2.0|
|9.40|2.0,2.0|0.3|2.0|0.125|1.0|1.0|3.0|
|9.60|2.0,2.0|0.3|2.0|0.125|0.25|1.0|3.0|
|9.70|2.0,2.0|0.3|2.0|0.125|0.25|1.0|3.0|
